avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240919 09:29:01,34141,,15.8418,,0.423,228.136,306.853,78.5749,219.078
20240919 09:30:01,34201,,15.4588,,0.160333,228.947,314.991,67.7458,124.859
20240919 09:31:01,34261,,14.44,,0.1785,233.056,317.466,72.5281,137.423
20240919 09:32:01,34321,,15.7208,,0.160333,227.157,311.228,72.1056,117.489
20240919 09:33:01,34381,,16.3298,,0.902167,233.119,323.14,79.3873,376.965
20240919 09:34:01,34441,,17.0605,,0.165833,232.148,328.502,81.2422,115.038
20240919 09:35:01,34501,,16.7398,,0.124833,232.131,327.672,67.737,118.115
20240919 09:36:01,34561,,16.051,,0.112,236.263,330.887,67.4441,89.7182
20240919 09:37:01,34621,,14.8398,,0.280833,228.718,313.644,85.2965,150.028
20240919 09:38:01,34681,,15.1707,,0.414333,230.477,317.911,87.6785,252.254
20240919 09:39:01,34741,,13.1813,,0.221167,231.946,308.41,75.0588,123.264
20240919 09:40:01,34801,,13.4103,,0.296167,235.293,320.742,74.7982,141.851
20240919 09:41:01,34861,,13.1705,,0.171333,233.301,314.691,69.8018,101.544
20240919 09:42:01,34921,,15.3313,,0.405833,234.062,323.621,93.2216,173.539
20240919 09:43:01,34981,,15.9302,,0.217833,229.215,310.41,74.2088,102.379
20240919 09:44:01,35041,,16.841,,0.205667,229.594,316.642,71.6698,111.156
20240919 09:45:01,35101,,15.6987,,0.398,229.625,319.113,77.5742,258.136
20240919 09:46:01,35161,,15.9803,,0.130167,228.682,309.07,64.615,95.6226
20240919 09:47:01,35221,,15.7393,,0.217333,231.053,309.037,73.7623,121.412
20240919 09:48:01,35281,,15.2403,,0.123,233.758,315.197,69.7679,94.3565
20240919 09:49:01,35341,,16.2802,,0.184,231.239,319.207,73.8877,110.099
20240919 09:50:01,35401,,16.6005,,0.379167,231.18,314.225,91.1612,192.177
20240919 09:51:01,35461,,16.5893,,0.245,231.041,320.843,71.8797,129.679
20240919 09:52:01,35521,,17.2812,,0.185833,236.782,323.131,67.9535,92.7736
20240919 09:53:01,35581,,15.7902,,0.2325,236.751,323.07,76.4318,182.859
20240919 09:54:01,35641,,14.8497,,0.1465,240.05,331.967,69.2379,93.6554
20240919 09:55:01,35701,,17.9205,,0.197667,234.302,327.441,68.2124,132.273
20240919 09:56:01,35761,,20.2397,,0.230167,240.301,343.101,70.7641,112.712
20240919 09:57:01,35821,,19.6685,,0.269167,238.304,337.914,77.5491,129.35
20240919 09:58:01,35881,,18.9607,,0.315333,238.442,326.488,76.4386,144.735
20240919 09:59:01,35941,,18.221,,0.3735,237.858,324.419,50.3934,61.6122
20240919 10:00:01,36001,4.83967,18.449,0.658667,1.06033,232.533,320.12,51.2332,70.3076
20240919 10:01:01,36061,8.78,17.5698,1.15617,1.85883,231.266,313.999,51.0587,71.6489
20240919 10:02:01,36121,12.8093,17.5993,1.54217,2.4785,237.681,327.239,50.358,60.3751
