avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240711 04:17:00,15420,,133.702,,0.862167,234.707,348.028,72.3058,206.839
20240711 04:18:00,15480,,139.661,,0.409667,229.695,338.005,68.208,96.3264
20240711 04:19:00,15540,,,,0.8,210.057,289.401,73.3465,104.96
20240711 04:20:00,15600,,140.939,,0.700833,236.779,354.175,69.7911,143.791
20240711 04:21:00,15660,,,,0.797,233.716,348.922,74.9262,144.594
20240711 04:22:00,15720,,143.404,,1.00983,234.963,351.053,77.1472,154.44
20240711 04:23:00,15780,,,,1.2225,234.082,347.213,79.5848,224.721
20240711 04:24:00,15840,,141.127,,0.9375,242.011,353.67,75.7232,187.777
20240711 04:25:00,15900,,150.546,,0.8175,243.112,360.466,72.9395,128.253
20240711 04:26:00,15960,,143.006,,1.10817,234.212,348.368,80.0324,133.316
20240711 04:27:00,16020,,142.124,,1.30067,229.318,339.225,78.5072,195.381
20240711 04:28:00,16080,,140.743,,1.37883,233.202,343.401,78.5771,194.203
20240711 04:29:00,16140,,135.862,,1.027,230.205,337.128,74.8604,132.845
20240711 04:30:00,16200,,,,0.787167,227.232,335.412,72.2841,115.514
20240711 04:31:00,16260,,133.415,,0.952667,238.614,350.478,71.4233,167.855
20240711 04:32:00,16320,,,,1.0805,226.021,324.851,74.3763,156.619
20240711 04:33:00,16380,,,,0.881333,244.835,355.607,74.8103,124.419
20240711 04:34:00,16440,,121.241,,1.027,237.544,341.483,71.9106,158.05
20240711 04:35:00,16500,,,,1.763,235.021,341.542,79.7589,201.799
20240711 04:36:00,16560,,127.651,,1.68367,227.807,332.921,78.381,169.033
20240711 04:37:00,16620,,132.949,,1.1135,231.403,346.562,74.1774,141.66
20240711 04:38:00,16680,,129.775,,1.032,231.481,344.814,74.0525,129.771
20240711 04:39:00,16740,,152.86,,2.6435,234.065,353.231,79.1872,428.179
20240711 04:40:00,16800,,128.973,,0.929833,216.145,302.537,74.6477,123.358
20240711 04:41:00,16860,,131.856,,1.11733,227.965,336.99,74.5239,180.341
20240711 04:42:00,16920,,123.41,,1.51317,204.444,270.876,76.8311,163.176
20240711 04:43:00,16980,,115.519,,1.662,206.478,269.945,76.4909,161.596
20240711 04:44:00,17040,,107.113,,1.0015,213.951,277.054,75.4925,146.423
20240711 04:45:00,17100,,92.3155,,1.47317,220.679,279.191,74.8499,372.115
20240711 04:46:00,17160,,96.027,,0.643333,217.575,277.145,74.0775,104.339
20240711 04:47:00,17220,,105.129,,0.625667,214.057,275.607,74.4726,128.915
20240711 04:48:00,17280,,113.815,,0.935833,212.077,278.945,78.2426,133.506
20240711 04:49:00,17340,,117.438,,1.00183,213.133,279.079,78.7256,139.339
20240711 04:50:00,17400,,109.104,,0.907667,219.024,285.577,78.5525,148.162
20240711 04:51:00,17460,,,,1.15283,217.467,280.21,78.9324,220.493
20240711 04:52:00,17520,,114.246,,0.865667,213.837,277.767,73.3001,168.469
20240711 04:53:00,17580,,123.057,,0.617167,210.18,279.603,70.0866,107.134
20240711 04:54:00,17640,,,,1.43433,209.968,276.422,76.426,266.183
20240711 04:55:00,17700,,117.734,,1.15717,209.77,273.835,73.7953,145.861
20240711 04:56:00,17760,,116.266,,2.07067,211.856,273.577,76.1855,384.241
20240711 04:57:00,17820,,120.398,,1.20467,206.551,268.413,78.489,175.902
20240711 04:58:00,17880,,124.897,,0.882667,207.925,275.407,69.9956,124.469
20240711 04:59:00,17940,,124.372,,1.10067,206.585,274.834,74.8196,122.153
20240711 05:00:00,18000,,122.745,,1.15083,204.283,271.383,77.3607,132.114
20240711 05:01:00,18060,,121.726,,1.375,204.548,273.37,75.7283,162.962
20240711 05:02:00,18120,,116.666,,1.038,204.979,274.866,75.3482,140.929
20240711 05:03:00,18180,,91.1672,,1.72117,213.658,281.085,76.9408,227.479
20240711 05:04:00,18240,,93.3218,,2.55483,209.766,271.094,72.6545,415.332
20240711 05:05:00,18300,,113.828,,2.87033,206.014,270.952,79.6481,363.79
20240711 05:06:00,18360,,107.31,,1.72467,205.92,270.862,75.304,183.575
20240711 05:07:00,18420,,104.433,,1.213,207.028,275.545,72.8203,129.05
20240711 05:08:00,18480,,105.881,,2.514,205.859,273.063,79.3453,384.688
20240711 05:09:00,18540,,87.6305,,1.24283,207.187,271.598,74.5693,132.572
20240711 05:10:00,18600,,84.2955,,1.10133,212.417,275.624,71.4952,126.132
20240711 05:11:00,18660,,94.3058,,1.19617,214.871,292.017,75.1181,134.767
20240711 05:12:00,18720,,98.28,,1.42817,216.906,306.461,80.5231,144.962
20240711 05:13:00,18780,,108.583,,1.41317,205.583,270.672,81.2081,135.938
20240711 05:14:00,18840,,103.727,,0.963,205.78,266.927,73.493,137.888
20240711 05:15:00,18900,,79.4008,,1.32567,215.624,279.65,75.4664,135.511
20240711 05:16:00,18960,,84.4462,,1.18,212.561,269.333,74.3347,125.302
20240711 05:17:00,19020,,106.265,,0.828167,208.301,271.208,69.093,115.966
20240711 05:18:00,19080,,100.459,,1.026,209.391,272.337,73.2543,123.215
20240711 05:19:00,19140,,112.578,,1.354,202.784,268.223,72.6776,183.328
20240711 05:20:00,19200,,2158.75,,2.50967,200.822,267.385,79.978,322.635
20240711 05:21:00,19260,,108.954,,0.831833,204.28,277.881,71.6848,129.671
20240711 05:22:00,19320,,86.0423,,0.886167,212.449,301.097,74.5543,144.507
20240711 05:23:00,19380,,145.991,,0.677667,270.21,392.059,71.8518,130.234
20240711 05:24:00,19440,,151.834,,0.677,269.625,391.009,70.8721,115.225
20240711 05:25:00,19500,,136.422,,1.81217,248.859,366.732,77.6341,218.172
