avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240624 21:05:01,75901,,66.9443,,0.922333,192.657,292.043,69.1913,143.413
20240624 21:06:01,75961,,64.5855,,0.654333,204.887,332.814,65.7313,121.754
20240624 21:07:01,76021,,74.1998,,0.703833,226.785,371.212,72.0371,118.606
20240624 21:08:01,76081,,71.6993,,0.9405,219.039,358.968,72.2209,143.454
20240624 21:09:01,76141,,70.1732,,1.08117,218.402,356.523,70.7532,181.001
20240624 21:10:01,76201,,,,1.19617,232.256,377.8,73.9403,185.789
20240624 21:11:01,76261,,,,1.24917,198.403,315.122,71.4042,235.701
20240624 21:12:01,76321,,70.5337,,0.753667,230.947,377.036,71.4124,160.565
20240624 21:13:01,76381,,65.8237,,0.639667,209.186,344.737,69.7337,106.053
20240624 21:14:01,76441,,70.7625,,1.0425,216.279,362.149,73.29,164.366
20240624 21:15:01,76501,,,,1.73317,207.786,343.811,70.591,360.343
20240624 21:16:01,76561,,68.4577,,0.999167,223.358,367.433,72.3218,170.217
20240624 21:17:01,76621,,56.976,,0.663333,196.007,305.382,70.1167,106.434
20240624 21:18:01,76681,,57.9792,,2.69283,204.49,330.728,73.8696,439.893
20240624 21:19:01,76741,,62.0682,,2.05933,211.109,344.99,76.8002,333.279
20240624 21:20:01,76801,,58.7625,,1.88033,214.322,352.068,78.9218,262.677
20240624 21:21:01,76861,,,,0.877833,207.142,337.329,70.1306,137.899
20240624 21:22:01,76921,,59.3018,,1.04433,200.292,313.314,71.7486,138.722
20240624 21:23:01,76981,,61.5213,,0.826167,195.433,299.973,66.5668,117.387
20240624 21:24:01,77041,,58.3927,,1.052,190.723,277.524,71.5713,118.232
20240624 21:25:01,77101,,55.3485,,3.638,188.929,266.915,83.2783,441.661
20240624 21:26:01,77161,,57.4125,,2.377,213.599,346.337,74.3605,454.269
20240624 21:27:01,77221,,81.0995,,2.04,245.883,386.091,69.3575,491.76
20240624 21:28:01,77281,,73.0023,,0.561833,222.569,361.854,66.8527,91.0541
20240624 21:29:01,77341,,,,1.42633,204.545,328.102,75.9227,215.727
20240624 21:30:01,77401,,64.621,,1.14467,192.233,285.042,75.3085,153.541
20240624 21:31:01,77461,,65.6672,,1.78867,190.208,277.356,74.4354,262.448
20240624 21:32:01,77521,,70.7798,,1.39217,190.218,267.797,72.9708,269.29
20240624 21:33:01,77581,,68.5602,,1.53567,186.586,266.907,77.4684,228.358
20240624 21:34:01,77641,,71.3353,,0.771833,191.854,292.424,69.8122,132.556
20240624 21:35:01,77701,,73.3567,,0.913,196.842,299.23,68.8358,188.237
20240624 21:36:01,77761,,79.0463,,0.998333,188.317,260.139,74.3065,121.758
20240624 21:37:01,77821,,1339.2,,0.8155,190.69,279.805,70.0559,110.253
20240624 21:38:01,77881,,73.6458,,1.053,190.616,278.201,75.4708,151.397
20240624 21:39:01,77941,,,,1.08833,188.026,270.835,75.572,131.614
20240624 21:40:01,78001,,77.447,,1.29117,187.206,260.6,71.3842,199.611
20240624 21:41:01,78061,,,,0.765167,185.441,256.167,70.4934,107.462
20240624 21:42:01,78121,,68.5843,,0.625,210.356,346.004,71.0078,116.31
20240624 21:43:01,78181,,82.7333,,1.144,207.857,339.267,77.17,127.961
20240624 21:44:01,78241,,75.5432,,1.0815,207.216,337.795,71.9097,181.395
20240624 21:45:01,78301,,76.9865,,1.03317,214.745,351.134,74.4352,146.152
20240624 21:46:01,78361,,77.0735,,2.35867,211.996,348.33,78.5433,310.536
20240624 21:47:01,78421,,74.3247,,0.928333,194.631,302.101,75.9459,127.87
20240624 21:48:01,78481,,71.655,,0.6375,219.502,362.319,68.7097,105.307
20240624 21:49:01,78541,,92.6403,,2.38083,239.97,383.817,76.3343,453.352
20240624 21:50:01,78601,,,,0.919667,229.949,376.66,68.1957,114.222
20240624 21:51:01,78661,,81.7276,,0.9835,197.341,310.118,70.6451,118.459
20240624 21:52:01,78721,,79.2127,,2.03,190.207,285.184,75.2001,231.767
20240624 21:53:01,78781,,89.0858,,0.987833,225.388,366.161,73.3114,128.741
20240624 21:54:01,78841,,84.0147,,2.04333,208.812,342.802,70.8521,377.372
20240624 21:55:01,78901,,103.259,,1.0755,234.016,373.243,72.8086,122.196
20240624 21:56:01,78961,,93.1618,,1.43633,225.696,365.55,75.7411,138.487
20240624 21:57:01,79021,,96.6013,,4.0935,226.012,368.555,77.4967,421.843
20240624 21:58:01,79081,,88.7225,,0.997666,209.031,346.787,69.6937,123.038
20240624 21:59:01,79141,,98.0603,,1.79533,205.892,346.551,75.4,193.976
20240624 22:00:01,79201,,98.7513,,2.63167,196.985,323.695,74.1227,288.789
20240624 22:01:01,79261,,,,2.07217,205.497,344,77.6088,238.029
20240624 22:02:01,79321,,105.361,,1.33717,204.447,346.324,72.1486,129.189
20240624 22:03:01,79381,,117.714,,1.8925,223.357,368.573,76.9718,213.721
20240624 22:04:01,79441,,91.303,,1.11033,193.322,318.752,68.2313,134.31
20240624 22:05:01,79501,,,,2.70217,194.926,321.335,74.3941,354.423
20240624 22:06:01,79561,,,,4.0515,186.337,292.04,77.0216,375.273
20240624 22:07:01,79621,,95.2698,,2.22967,181.042,265.622,68.9235,356.242
20240624 22:08:01,79681,,,3.57283,5.50633,179.287,270.107,77.4228,241.536
20240624 22:09:01,79741,7.04817,107.713,5.40017,8.3265,172.954,255.14,79.4288,177.882
20240624 22:10:01,79801,5.85117,107.076,5.57117,8.591,175.615,258.598,78.3081,280.711
20240624 22:11:01,79861,5.48533,105.518,4.887,7.53667,176.495,256.38,76.6051,284.256
20240624 22:12:01,79921,3.256,101.265,4.209,6.48933,177.878,253.854,75.0904,408.239
20240624 22:13:01,79981,3.68267,106.563,3.23517,4.98833,178.447,261.633,75.7104,280.203
20240624 22:14:01,80041,3.54383,104.425,2.04033,3.14617,177.071,260.652,74.7528,143.391
20240624 22:15:01,80101,3.74133,98.0375,3.32467,5.13133,180.526,257.758,74.5115,328.002
20240624 22:16:01,80161,4.28733,99.9612,5.5385,8.53967,180.342,256.228,78.3138,376.12
20240624 22:17:01,80221,4.18366,94.5922,4.2275,6.52017,179.877,251.535,75.0676,310.205
20240624 22:18:01,80281,4.90783,94.3773,5.3425,8.23767,181.549,252.648,79.8792,329.634
20240624 22:19:01,80341,10.0877,108.786,9.83767,15.1723,173.681,244.691,78.0537,315.191
20240624 22:20:01,80401,13.5552,119.531,10.3832,16.019,170.599,245.553,77.1512,228.833
20240624 22:21:01,80461,14.314,122.62,11.1055,17.1378,169.387,244.661,75.8012,257.921
20240624 22:22:01,80521,12.7158,108.328,8.54616,13.1822,173.083,249.999,75.9347,171.766
20240624 22:23:01,80581,13.6908,113.794,11.6017,17.8963,175.374,269.69,78.1184,258.43
20240624 22:24:01,80641,17.4297,127.116,13.0447,20.118,169.644,243.34,77.2383,196.056
20240624 22:25:01,80701,17.6088,131.577,17.1113,26.3858,169.335,249.526,77.1713,325.813
20240624 22:26:01,80761,16.4185,133.952,13.3862,20.645,169.711,251.775,78.201,227.204
20240624 22:27:01,80821,,,18.1732,28.0358,165.866,249.562,77.8204,345.592
20240624 22:28:01,80881,17.9773,142.727,16.582,25.5708,166.379,246.944,77.7172,286.38
20240624 22:29:01,80941,18.0493,146.368,14.1808,21.8778,166.194,243.773,77.6362,226.902
20240624 22:30:01,81001,17.6285,139.083,12.1828,18.7873,167.61,247.419,76.0346,181.771
20240624 22:31:01,81061,15.3502,136.417,13.8723,21.399,167.24,241.933,77.9743,262.509
20240624 22:32:01,81121,18.0578,142.486,11.1607,17.2115,166.69,250.174,75.1732,162.763
20240624 22:33:01,81181,21.2668,153.892,18.842,29.0557,163.551,240.116,78.0169,268.252
20240624 22:34:01,81241,19.198,159.589,16.371,25.243,159.443,235.529,78.9558,245.113
20240624 22:35:01,81301,,,14.6198,22.5558,162.418,247.373,78.1269,207.708
20240624 22:36:01,81361,19.656,155.544,16.4653,25.4063,163.971,246.725,78.9697,235.118
20240624 22:37:01,81421,21.2715,161.175,18.801,28.999,162.172,235.241,78.7783,279.596
20240624 22:38:01,81481,17.3498,145.988,14.3698,22.1675,164.822,241.076,79.0288,240.349
20240624 22:39:01,81541,14.8335,140.301,11.8517,18.2755,168.447,248.105,79.386,221.993
20240624 22:40:01,81601,16.5113,131.773,11.5787,17.858,171.761,249.01,76.1262,188.043
20240624 22:41:01,81661,21.6745,149.537,15.8967,24.5153,168.094,248.605,77.761,195.306
20240624 22:42:01,81721,,,17.7052,27.2923,157.135,240.844,82.6107,271.707
20240624 22:43:01,81781,16.5528,150.212,18.3385,28.2765,165.527,243.752,84.8812,261.693
20240624 22:44:01,81841,16.7907,145.339,18.5353,28.5863,167.285,239.655,84.3871,276.744
20240624 22:45:01,81901,16.7565,139.496,16.2747,25.101,169.053,243.459,80.1361,282.482
20240624 22:46:01,81961,15.9938,137.146,13.0823,20.1767,170.397,243.754,79.1417,212.614
20240624 22:47:01,82021,14.829,135.345,11.4322,17.6293,171.067,242.461,78.1651,221.823
20240624 22:48:01,82081,13.908,134.772,16.3145,25.1602,170.364,245.71,85.1778,277.927
20240624 22:49:01,82141,12.8392,137.614,10.3393,15.9465,170.306,247.014,77.982,210.226
20240624 22:50:01,82201,11.727,144.129,9.73133,15.0137,166.698,244.267,79.6737,205.386
20240624 22:51:01,82261,13.5897,129.569,12.0917,18.65,171.974,249.847,81.1538,230.786
20240624 22:52:01,82321,12.7207,115.22,11.018,16.9997,174.822,254.459,79.9272,233.694
20240624 22:53:01,82381,11.0727,117.764,10.36,15.9837,188.518,314.397,80.6834,285.059
20240624 22:54:01,82441,11.8368,135.206,12.8777,19.8628,188.716,324.633,82.2481,282.384
20240624 22:55:01,82501,11.3127,138.954,10.1802,15.7048,183.659,317.961,81.437,227.386
20240624 22:56:01,82561,11.5953,139.872,10.7498,16.5772,196.194,347.01,81.301,237.567
20240624 22:57:01,82621,,,11.4588,17.6822,215.581,366.771,83.4371,384.022
20240624 22:58:01,82681,9.37933,139.288,9.47983,14.6218,207.892,359.323,82.1899,240.393
20240624 22:59:01,82741,10.5275,144.249,8.02983,12.3835,208.831,360.031,78.7831,180.481
20240624 23:00:01,82801,9.96333,141.188,8.3175,12.8282,199.416,347.047,79.8549,204.658
20240624 23:01:01,82861,9.04567,116.071,6.82767,10.5282,181.06,298.106,78.6436,175.846
20240624 23:02:01,82921,7.87017,113.321,6.725,10.3718,189.413,309.031,79.3187,213.055
20240624 23:03:01,82981,,,5.8915,9.0865,179.466,254.164,77.1373,179.285
20240624 23:04:01,83041,8.56133,113.809,7.59833,11.7198,178.565,251.697,81.0443,243.783
20240624 23:05:01,83101,8.95667,110.244,8.27817,12.7725,177.944,253.794,81.5467,226.295
20240624 23:06:01,83161,,,9.90916,15.2842,176.236,254.057,78.3553,322.051
20240624 23:07:01,83221,9.25383,106.728,8.385,12.9347,179.707,259.014,79.7702,247.093
20240624 23:08:01,83281,,,7.5325,11.6197,178.924,253.117,77.7957,240.332
20240624 23:09:01,83341,8.756,108.351,7.377,11.3783,179.698,273.809,76.129,302.63
20240624 23:10:01,83401,9.50883,105.398,8.97483,13.8385,177.372,248.552,78.5302,296.142
20240624 23:11:01,83461,9.06483,101.82,7.9685,12.292,176.198,255.698,76.9981,287.441
20240624 23:12:01,83521,117.503,1909.75,7.11183,10.9722,201.543,335.644,76.5668,280.953
20240624 23:13:01,83581,8.511,107.722,6.2265,9.601,201.605,340.796,76.9644,193.359
20240624 23:14:01,83641,,,6.1655,9.50884,212.635,362.416,76.9895,198.983
20240624 23:15:01,83701,8.07683,134.767,8.76033,13.5145,220.016,366.182,80.6754,316.304
20240624 23:16:01,83761,,,6.11667,9.43583,148.855,327.8,77.9556,263.44
20240624 23:17:01,83821,7.106,216.791,4.34583,6.7045,148.215,296.133,75.6454,160.774
20240624 23:18:01,83881,6.77917,111.693,7.88767,12.1685,203.153,340.434,81.3065,320.869
20240624 23:19:01,83941,6.58017,104.989,4.63483,7.154,189.57,307.882,76.9157,192.023
20240624 23:20:01,84001,7.08217,101.069,6.11483,9.42967,189.383,303.879,78.9364,228.567
20240624 23:21:01,84061,7.22333,100.426,7.48283,11.5457,187.964,297.305,76.7955,354.317
20240624 23:22:01,84121,6.83667,97.5085,6.44917,9.94533,177.04,248.995,77.5536,282.411
20240624 23:23:01,84181,6.68233,93.494,4.1735,6.4375,183.31,276.678,73.6993,177.437
20240624 23:24:01,84241,6.59233,437.396,4.5095,6.95717,128.255,200.675,73.0449,273.33
20240624 23:25:01,84301,,,4.33017,6.68033,159.938,256.977,75.1905,191.414
20240624 23:26:01,84361,5.9805,92.5402,5.249,8.09717,191.202,298.391,75.2608,301.237
20240624 23:27:01,84421,,,3.33233,5.1415,183.723,266.159,74.5537,164.665
20240624 23:28:01,84481,5.572,93.0851,4.10933,6.33967,180.087,259.85,74.5115,254.951
20240624 23:29:01,84541,,,3.611,5.5715,179.736,258.229,75.3867,166.109
20240624 23:30:01,84601,6.084,90.5205,7.73834,11.9367,177.358,250.332,79.1927,376.233
20240624 23:31:01,84661,5.76167,92.2562,3.8995,6.01633,178.728,253.926,76.057,179.043
20240624 23:32:01,84721,5.19016,98.3463,3.3955,5.23866,176.525,252.946,75.742,169.709
20240624 23:33:01,84781,,,3.55733,5.48467,189.514,259.075,74.516,167.296
20240624 23:34:01,84841,5.55333,67.8217,4.2335,6.53233,191.606,262.128,75.1572,278.632
