avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240627 02:41:00,9660,6.72533,94.0217,5.1035,8.03433,258.89,327.062,78.1935,188.35
20240627 02:42:00,9720,7.289,94.5065,4.30717,6.77717,251.695,324.898,74.3227,165.192
20240627 02:43:00,9780,7.21883,95.1936,4.46733,7.03217,245.6,324.271,74.3031,169.864
20240627 02:44:00,9840,6.87317,91.9123,3.25583,5.12417,243.183,322.047,70.939,155.003
20240627 02:45:00,9900,7.07567,99.7167,3.67533,5.78417,249.653,326.539,71.3526,164.668
20240627 02:46:00,9960,75.6793,1260,5.37983,8.46867,250.931,329.716,75.9291,319.71
20240627 02:47:00,10020,7.26067,97.133,5.4685,8.60733,255.024,328.563,77.6666,199.743
20240627 02:48:00,10080,8.1445,115.443,6.26283,9.8575,256.952,329.43,77.7139,206.209
20240627 02:49:00,10140,,,5.95533,9.37083,250.356,328.024,76.9675,199.164
20240627 02:50:00,10200,7.79183,90.9953,5.86383,9.224,249.518,324.859,75.5561,248.335
20240627 02:51:00,10260,,,4.7145,7.4225,249.97,324.576,75.4464,171.702
20240627 02:52:00,10320,7.97917,92.985,6.063,9.54417,250.578,326.125,76.3801,259.821
20240627 02:53:00,10380,7.55383,97.3142,4.72617,7.43667,262.883,335.109,76.327,154.993
20240627 02:54:00,10440,7.83317,85.9532,6.37433,10.0355,252.237,326.581,78.3162,243.961
20240627 02:55:00,10500,,,7.70733,12.1345,242.133,323.804,80.2172,315.404
20240627 02:56:00,10560,8.187,105.604,5.37633,8.46767,242.243,325.579,77.2791,170.428
20240627 02:57:00,10620,7.8215,98.8653,6.0405,9.51483,241.859,324.578,77.6402,209.717
20240627 02:58:00,10680,,,3.92017,6.1725,221.216,314.646,72.8412,153.845
20240627 02:59:00,10740,6.8915,84.1493,3.47667,5.47567,228.732,316.131,72.1262,156.288
20240627 03:00:00,10800,6.8015,86.3448,3.99467,6.28867,229.136,317.294,73.6824,159.415
20240627 03:01:00,10860,,,4.995,7.864,238.471,319.197,76.2839,184.645
20240627 03:02:00,10920,6.31283,80.7905,4.8765,7.67667,227.274,312.667,75.9763,231.951
20240627 03:03:00,10980,6.7095,90.1998,5.96133,9.38267,231.107,318.275,77.9711,267.832
20240627 03:04:00,11040,6.469,84.8185,3.77583,5.94417,229.598,316.756,71.8621,180.611
20240627 03:05:00,11100,6.5375,66.9858,3.605,5.67567,231.995,316.651,72.4191,165.655
20240627 03:06:00,11160,6.6285,70.392,5.11533,8.0535,241.59,325.236,73.8187,273.675
20240627 03:07:00,11220,5.75817,88.7713,3.73833,5.886,263.119,348.3,75.7366,169.595
20240627 03:08:00,11280,6.37017,81.065,3.6215,5.69983,256.649,342.367,74.1261,152.22
20240627 03:09:00,11340,5.4825,86.0045,4.671,7.356,267.85,356.187,78.766,217.919
20240627 03:10:00,11400,6.32967,99.9416,6.24883,9.836,263.959,354.226,78.3686,297.949
20240627 03:11:00,11460,6.9625,97.47,5.76017,9.06733,254.383,342.363,79.3017,227.301
20240627 03:12:00,11520,6.46517,103.913,3.24633,5.1095,241.422,330.645,73.3521,132.792
20240627 03:13:00,11580,5.91833,109.854,5.2495,8.26283,247.958,342.79,77.6244,297.187
20240627 03:14:00,11640,5.89483,117.012,4.74033,7.46033,257.396,351.541,79.6838,205.151
20240627 03:15:00,11700,5.6885,117.139,5.25217,8.26833,264.272,358.893,78.6422,291.379
20240627 03:16:00,11760,5.7375,117.593,5.40417,8.50717,266.484,356.417,79.0434,292.379
20240627 03:17:00,11820,6.34383,99.251,6.20333,9.76683,256.527,334.826,79.1575,287.181
20240627 03:18:00,11880,,,5.0855,8.00616,259.239,346.164,80.1091,198.521
20240627 03:19:00,11940,5.51933,98.0717,6.238,9.81967,261.603,354.231,79.7228,352.522
20240627 03:20:00,12000,,,4.2405,6.67883,265.294,350.139,75.5414,236.979
20240627 03:21:00,12060,,,4.21017,6.62883,267.576,347.25,76.0499,183.827
20240627 03:22:00,12120,6.83767,85.4535,3.96717,6.24583,264.638,341.749,75.7357,142.002
20240627 03:23:00,12180,5.79633,79.5168,3.49917,5.50733,270.642,353.264,75.5386,150.118
20240627 03:24:00,12240,6.78883,79.5832,6.43583,10.1337,258.563,332.019,78.6506,281.747
20240627 03:25:00,12300,6.14233,80.3597,3.42817,5.3965,266.888,345.289,75.427,136.439
20240627 03:26:00,12360,5.8855,86.4226,4.04117,6.361,257.59,336.839,77.7856,159.149
20240627 03:27:00,12420,5.64616,109.712,3.96783,6.24817,252.111,346.174,78.9664,169.718
20240627 03:28:00,12480,5.924,113.147,3.908,6.1525,255.73,348.527,76.3212,176.293
20240627 03:29:00,12540,5.8535,103.175,4.6665,7.34783,263.572,350.1,79.9484,210.445
20240627 03:30:00,12600,6.18683,105.19,5.54033,8.72417,257.285,340.276,78.0434,315.511
20240627 03:31:00,12660,6.41733,104.754,5.7145,8.99633,249.027,327.25,78.6903,272.336
20240627 03:32:00,12720,6.211,104.711,6.0415,9.50933,246.227,322.885,79.3263,267.382
20240627 03:33:00,12780,5.36383,102.859,3.8515,6.063,243.04,325.649,78.7353,166.715
20240627 03:34:00,12840,4.77167,95.597,4.358,6.85633,243.831,326.06,78.6211,282.9
20240627 03:35:00,12900,5.54083,97.3183,5.78333,9.09983,246.869,331.545,80.4692,311.041
20240627 03:36:00,12960,5.31433,92.9858,4.79433,7.54483,246.803,328.985,78.1204,284.707
20240627 03:37:00,13020,5.06067,88.8457,4.11567,6.47633,250.905,336.456,78.2447,237.218
20240627 03:38:00,13080,4.45333,85.0727,4.1365,6.51183,256.497,341.846,77.688,260.162
20240627 03:39:00,13140,5.15283,90.5127,4.05717,6.3875,252.56,332.149,79.4679,191.773
20240627 03:40:00,13200,5.16333,97.631,3.39483,5.3425,247.717,329.282,76.6135,165.508
20240627 03:41:00,13260,4.2915,89.7447,5.55633,8.7495,248.719,343.69,82.3154,374.354
20240627 03:42:00,13320,3.83633,100.44,2.67283,4.20917,268.42,366.048,78.858,161.72
20240627 03:43:00,13380,4.64233,109.845,4.12517,6.49333,266.77,357.402,77.8947,304.319
20240627 03:44:00,13440,,,3.6525,5.75183,261.557,346.115,75.8511,250.045
20240627 03:45:00,13500,,,3.35783,5.28517,266.03,347.111,76.6012,173.484
20240627 03:46:00,13560,,,4.10067,6.45517,262.83,344.722,79.434,289.774
20240627 03:47:00,13620,4.7385,92.1893,3.84767,6.05667,262.121,340.629,76.3796,300.678
